City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Faanui,PF,77.9,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
13,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
16,Kavieng,PG,82.81,light rain,-2.5744,150.7967,Nusa Island Retreat
20,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
24,Damietta,EG,78.69,clear sky,31.4165,31.8133,SULIMAN INN
25,Hithadhoo,MV,81.59,broken clouds,-0.6,73.0833,Scoop Guest House
31,Atuona,PF,77.43,few clouds,-9.8,-139.0333,Villa Enata
34,Kapaa,US,85.98,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
39,Naze,JP,85.12,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
42,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
47,Hilo,US,76.24,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
50,Innisfail,AU,76.41,clear sky,-17.5333,146.0333,Moondarra Motel
57,Laguna,US,87.64,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
67,Yellowknife,CA,78.3,few clouds,62.456,-114.3525,The Explorer Hotel
73,Qingdao,CN,85.6,light rain,36.0986,120.3719,东晖国际大酒店餐厅
78,Butaritari,KI,83.32,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
84,Airai,TL,77.59,few clouds,-8.9266,125.4092,Juvinal Martin
86,Sao Filipe,CV,75.25,few clouds,14.8961,-24.4956,Hotel Xaguate
87,Tecoanapa,MX,80.55,overcast clouds,16.5167,-98.75,Hotel Manglares
92,Balabac,PH,86.5,broken clouds,7.9868,117.0645,Sing and Swing Lodge
93,Waingapu,ID,84.7,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
95,Portland,US,82.6,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
99,Dawei,MM,81.91,overcast clouds,14.0833,98.2,Hotel Dawei
107,Progreso,MX,80.71,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
109,Mae Hong Son,TH,80.74,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
112,Kropotkin,RU,78.13,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
115,Villanueva,HN,79.79,scattered clouds,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
116,Boguchar,RU,78.26,clear sky,49.9358,40.545,Home on Dzerzhinskogo
117,Dickinson,US,86.2,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
