City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kashary,RU,49.04,41.0056,79.68,48,33,3.15,scattered clouds
1,Havelange,BE,50.3833,5.2333,55.67,96,25,4.47,scattered clouds
2,Ngunguru,NZ,-35.6167,174.5,64.17,61,33,8.81,scattered clouds
3,Kenai,US,60.5544,-151.2583,74.03,49,1,9.22,clear sky
4,Los Chiles,CR,11.0333,-84.7167,74.08,95,100,2.91,overcast clouds
5,Sept-Iles,CA,50.2001,-66.3821,58.05,88,75,2.3,broken clouds
6,Busselton,AU,-33.65,115.3333,57.04,69,100,9.55,overcast clouds
7,Faanui,PF,-16.4833,-151.75,77.9,71,24,14.72,few clouds
8,Barrow,US,71.2906,-156.7887,46.42,81,90,13.8,overcast clouds
9,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,26,0,14.97,clear sky
10,Goreloye,RU,52.937,41.5043,74.25,53,1,5.1,clear sky
11,Pangnirtung,CA,66.1451,-65.7125,50.54,82,100,0.34,overcast clouds
12,East London,ZA,-33.0153,27.9116,61.74,63,75,13.8,light rain
13,Touros,BR,-5.1989,-35.4608,76.1,80,8,15.84,clear sky
14,Rikitea,PF,-23.1203,-134.9692,69.35,56,2,20.96,clear sky
15,Tuatapere,NZ,-46.1333,167.6833,44.82,95,100,5.3,overcast clouds
16,Kavieng,PG,-2.5744,150.7967,82.81,78,9,10.58,light rain
17,New Norfolk,AU,-42.7826,147.0587,56.7,48,76,5.68,broken clouds
18,Sobolevo,RU,54.4299,31.8996,65.89,92,96,6.89,overcast clouds
19,Bredasdorp,ZA,-34.5322,20.0403,55.27,94,100,2.3,overcast clouds
20,San Cristobal,VE,7.7669,-72.225,75.38,98,100,5.86,overcast clouds
21,Hermanus,ZA,-34.4187,19.2345,55.8,88,77,10.09,broken clouds
22,Cape Town,ZA,-33.9258,18.4232,57.11,88,0,1.99,clear sky
23,Mercedes,AR,-34.6515,-59.4307,47.84,80,0,5.21,clear sky
24,Damietta,EG,31.4165,31.8133,78.69,67,0,6.31,clear sky
